Countries,"Agricultural machinery, tractors",Fertilizer consumption (% of fertilizer production),Fertilizer consumption (kilograms per hectare of arable land),Agricultural land (sq. km),Agricultural land (% of land area),Arable land (hectares),Arable land (hectares per person),Arable land (% of land area),Land under cereal production (hectares),Permanent cropland (% of land area),Rural land area where elevation is below 5 meters (sq. km),Rural land area where elevation is below 5 meters (% of total land area),Forest area (sq. km),Forest area (% of land area),Agricultural irrigated land (% of total agricultural land),Average precipitation in depth (mm per year),Land area (sq. km),Rural land area (sq. km),"Agricultural machinery, tractors per 100 sq. km of arable land",Cereal production (metric tons),Crop production index (2014-2016 = 100),Food production index (2014-2016 = 100),Livestock production index (2014-2016 = 100),Surface area (sq. km),Cereal yield (kg per hectare),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Employment in agriculture (% of total employment) (modeled ILO estimate),Rural population,Rural population growth (annual %),Rural population (% of total population),Agricultural raw materials imports (% of merchandise imports),Agricultural raw materials exports (% of merchandise exports),"Access to electricity, rural (% of rural population)",Agricultural methane emissions (thousand metric tons of CO2 equivalent),Agricultural methane emissions (% of total),Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),Agricultural nitrous oxide emissions (% of total),Rural population living in areas where elevation is below 5 meters (% of total population),"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","Agriculture, forestry, and fishing, value added (current US$)","Agriculture, forestry, and fishing, value added (% of GDP)"
Amérique latine et Caraïbes (BIRD et IDA),"1,456,170.00",146.5,60,"6,680,781.90",33.5,..,0.3,6.2,"46,665,694.00",1,"160,454.50",0.9,"10,670,140.40",53.5,..,..,"19,942,112.00","18,012,755.60",124.1,"97,538,498.00",0.1,0.1,0.1,"20,317,186.00","2,090.20",..,..,..,"126,138,973.00",0,29.6,3.1,3.1,..,"542,610.00",73.3,"233,730.00",89.6,0.7,..,"86,551,855,625.90",8.6
Pays les moins avancés: classement de l’ONU,"57,437.00",129.8,..,"6,301,513.90",35.5,..,0.2,6.7,"60,798,181.00",0.6,"93,218.90",0.6,"6,045,934.60",33.8,..,..,"20,352,897.30","15,032,760.50",6.2,"87,301,673.00",1.9,3.5,7.8,"18,392,391.00","1,435.90",..,..,..,"397,380,277.00",2.1,78.5,..,..,..,"364,430.00",75.7,"218,070.00",83,3.5,..,"305,187,020,907.00",35.3
Revenu faible et intermédiaire,"5,428,553.00",125.9,86.2,"27,571,647.60",39.4,..,0.2,10.8,"433,807,739.00",1.3,"710,924.10",0.9,"31,447,311.90",34.3,..,..,"94,093,491.30","78,016,123.00",76.3,"1,055,605,682.00",0.2,0.4,0.6,"94,176,178.00","2,433.30",..,..,..,"2,746,643,378.00",1.2,64.5,..,..,..,"2,411,480.00",48.8,"1,287,740.00",85.2,2.7,..,"856,193,119,560.40",21
Faible revenu,"88,079.00",169.7,8.1,"4,484,850.00",36.3,..,0.3,6.3,"37,469,603.00",0.6,"32,183.20",0.3,"3,305,529.00",26.6,..,..,"14,924,643.30","10,550,349.70",..,"36,594,399.00",3.4,5.7,10.5,"12,831,330.00",976.6,..,..,..,"219,806,901.00",2.3,75.5,..,..,..,"196,960.00",62.2,"139,860.00",85.2,0.8,..,"37,797,716,473.70",39.4
"Revenu intermédiaire, tranche inférieure","1,859,682.00",117.3,62.5,"9,465,345.10",39.1,..,0.2,15,"216,745,263.00",1.9,"275,206.60",1.3,"7,507,252.20",29.4,..,..,"25,540,614.00","20,690,002.20",52.4,"430,201,159.00",0.1,0.1,0.1,"26,405,641.00","1,984.80",..,..,..,"1,401,129,470.00",1.7,69.6,..,..,..,"1,042,950.00",56.9,"459,740.00",86.5,3.4,..,"442,655,800,982.40",24.1
Afrique du Nord et Moyen-Orient,"615,496.00",45.9,73.7,"3,325,842.00",29.6,..,0.2,4.8,"31,049,131.00",0.6,"64,819.00",0.6,"204,711.20",1.8,..,..,"11,226,230.00","10,642,151.40",114.6,"48,620,425.00",0.1,0.1,0.1,"11,388,307.90","1,565.90",..,..,..,"114,548,211.00",2.5,45.1,..,..,..,"60,570.00",20.9,"49,460.00",73.3,3.3,..,..,8.7
Afrique du Nord et Moyen-Orient (hors revenu élevé),"580,643.00",56.8,67,"2,069,362.00",23.9,..,0.2,5.8,"29,953,181.00",0.8,"51,201.20",0.6,"191,101.00",2.2,..,..,"8,643,940.00","8,312,627.20",116.5,"44,065,206.00",0.1,0.1,0.1,"8,777,960.00","1,471.10",..,..,..,"109,130,455.00",2.6,48.2,..,..,..,"57,190.00",23.8,"44,630.00",75.4,3.5,..,..,13.9
Afrique du Nord et Moyen-Orient (BIRD et IDA),"575,823.00",56.8,67,"2,065,612.00",23.9,..,0.2,5.8,"29,953,181.00",0.8,"51,198.20",0.6,"191,010.20",2.2,..,..,"8,637,920.00","8,309,122.10",115.7,"44,065,206.00",0.1,0.1,0.1,"8,771,940.00","1,471.10",..,..,..,"108,491,659.00",2,48.4,..,..,..,"57,190.00",23.8,"44,630.00",75.4,3.5,..,..,13.9
Revenu intermédiaire,"5,340,474.00",125.7,94.3,"23,086,797.60",40,..,0.2,11.8,"396,338,136.00",1.5,"678,740.90",1,"28,141,782.90",35.6,..,..,"79,168,848.00","67,465,773.30",80,"1,019,011,283.00",0.1,0.1,0.1,"81,344,848.00","2,571.10",..,..,..,"2,526,836,477.00",1.1,63.7,..,..,..,"2,214,520.00",47.9,"1,147,880.00",85.2,2.8,..,"821,345,895,482.40",20.8
Amérique du Nord,"5,176,746.00",60,91.3,"4,883,513.00",26.9,..,0.8,12.5,"87,247,874.00",0.1,"249,819.70",1.3,"6,507,239.30",35.9,..,..,"18,124,604.00","17,633,613.30",228,"369,216,839.00",0.1,0.1,0.1,"19,508,894.00","4,231.80",..,..,..,"68,141,592.00",0.4,24.6,1.9,5.5,100,"220,820.00",25.9,"184,740.00",63.4,0.3,..,..,..
Non classifié,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pays membres de l'OCDE,"16,831,907.00",78,128.7,"13,632,200.00",38.7,..,0.4,11.5,"183,336,198.00",0.6,"429,200.30",1.2,"11,487,671.60",32.3,..,..,"35,512,437.00","33,747,907.10",444.7,"711,535,654.00",0.1,0.1,0.1,"37,215,448.00","3,881.00",..,..,..,"298,513,644.00",-0.2,27,3.2,3,98.5,"818,400.00",40.8,"587,370.00",67,0.9,..,..,..
Autres petits états,"38,657.00",..,..,"771,879.80",38.9,..,0.2,1.6,"1,242,337.00",0.3,"11,135.90",0.8,"642,731.10",31.5,..,..,"2,039,234.00","1,365,357.10",..,"1,196,361.00",0.1,0.1,0.1,"2,081,351.00",963,..,..,..,"9,515,101.00",1,54.6,..,..,..,"17,040.00",40.6,"13,220.00",86.2,3.6,..,..,..
Petits états insulaires du Pacifique,..,..,..,"7,574.00",12,..,..,3.6,"14,686.00",5,"1,807.70",2.4,"42,291.60",65.4,..,..,"62,860.00","63,259.00",..,"30,102.00",0.1,0.1,0.1,"63,810.00","2,049.70",..,..,..,"1,160,425.00",0.9,68.5,..,..,..,"1,050.00",64.4,490,86,3.9,..,..,22.1
de Post-dividende démographique,"14,511,172.00",76.4,134.8,"11,412,404.00",37.7,..,0.4,11.3,"149,838,773.00",0.5,"384,749.00",1.2,"9,850,173.20",31.4,..,..,"31,355,209.00","29,857,737.40",457.1,"626,491,532.00",0.1,0.1,0.1,"32,992,663.00","4,181.10",..,..,..,"250,105,348.00",-0.2,25.9,3.2,3,100,"737,580.00",37.8,"539,480.00",65.6,1,..,..,..
de Pré-dividende démographique,"95,357.00",90.4,9.1,"6,478,279.90",36.6,..,0.3,7.1,"54,279,994.00",1,"67,610.00",0.4,"5,882,361.70",33.1,..,..,"20,272,964.30","15,238,541.30",..,"53,224,804.00",1.8,3.5,8.6,"18,165,321.00",980.6,..,..,..,"297,418,988.00",2.1,71.7,..,..,..,"258,890.00",57.8,"196,700.00",81.1,1,..,"67,191,640,580.80",23.3
Petits états,"51,582.00",..,..,"799,097.10",32.6,..,0.2,1.7,"1,386,906.00",0.5,"29,211.40",1.5,"1,054,995.10",42,..,..,"2,506,944.00","1,821,834.30",..,"1,636,635.00",0.1,0.1,0.1,"2,580,151.00","1,180.10",..,..,..,"13,752,434.00",0.8,54.7,..,..,..,"20,270.00",34.9,"15,180.00",85.6,3.8,..,..,..
Asie du Sud,"1,261,148.00",136,70.7,"2,719,904.00",56.9,..,0.2,44.8,"131,804,018.00",1.8,"69,492.10",1.7,"777,413.80",16.3,..,..,"4,779,833.00","3,917,487.00",59.2,"253,875,462.00",0.1,0.1,0.1,"5,144,770.00","1,926.10",..,..,..,"849,386,663.00",1.9,74.9,4,4.8,..,"570,420.00",81.2,"181,040.00",94,2.1,..,"110,506,580,483.90",27
Asie du Sud (BIRD et IDA),"1,261,148.00",136,70.7,"2,719,904.00",56.9,..,0.2,44.8,"131,804,018.00",1.8,"69,492.10",1.7,"777,413.80",16.3,..,..,"4,779,833.00","3,917,487.00",59.2,"253,875,462.00",0.1,0.1,0.1,"5,144,770.00","1,926.10",..,..,..,"849,386,663.00",1.9,74.9,4,4.8,..,"570,420.00",81.2,"181,040.00",94,2.1,..,"110,506,580,483.90",27
Afrique subsaharienne,"233,231.00",114.7,13.9,"8,501,183.70",40,..,0.3,6.8,"63,275,008.00",0.9,"59,609.10",0.3,"7,048,581.40",33,..,..,"23,823,744.30","17,310,644.00",..,"68,843,151.00",1.6,2.9,6.6,"21,884,801.00","1,088.00",..,..,..,"370,045,047.00",2.1,72.6,..,..,..,"324,190.00",59.1,"246,030.00",82.4,0.7,..,"64,864,086,482.70",22.2
Afrique subsaharienne (hors revenu élevé),"233,231.00",114.7,13.9,"8,501,143.70",40,..,0.3,6.8,"63,275,008.00",0.9,"59,565.00",0.3,"7,048,244.40",33,..,..,"23,823,284.30","17,310,456.00",..,"68,843,151.00",1.6,2.9,6.6,"21,884,341.00","1,088.00",..,..,..,"370,009,786.00",2.1,72.6,..,..,..,"324,190.00",59.1,"246,020.00",82.4,0.7,..,"64,847,000,994.90",22.2
Afrique subsaharienne (BIRD et IDA),"233,231.00",114.7,13.9,"8,501,183.70",40,..,0.3,6.8,"63,275,008.00",0.9,"59,609.10",0.3,"7,048,581.40",33,..,..,"23,823,744.30","17,310,644.00",..,"68,843,151.00",1.6,2.9,6.6,"21,884,801.00","1,088.00",..,..,..,"370,045,047.00",2.1,72.6,..,..,..,"324,190.00",59.1,"246,030.00",82.4,0.7,..,"64,864,086,482.70",22.2
"Revenu intermédiaire, tranche supérieure","3,480,792.00",130.9,130.6,"13,621,452.50",..,..,0.2,..,"179,592,873.00",1.2,"403,534.30",0.8,"20,634,530.70",38.5,..,..,"53,628,234.00","46,775,771.00",..,"588,810,124.00",0.1,0.1,0.1,"54,939,207.00","3,278.60",..,..,..,"1,125,707,007.00",0.4,57.6,..,..,..,"1,171,570.00",41.9,"688,140.00",84.3,2.1,..,"351,888,840,312.20",19.8
Monde,"21,313,896.00",97,102,"40,923,990.60",38.8,..,0.2,10.6,"594,003,802.00",1.1,"1,153,482.00",1,"41,282,694.90",31.6,..,..,"129,852,140.70","111,794,070.40",..,"1,716,847,663.00",0.2,0.3,0.4,"131,634,540.30","2,890.30",..,..,..,"3,007,038,178.00",1.1,57,3.2,..,..,"3,152,440.00",45.7,"1,823,710.00",78.2,2.3,..,"1,387,025,265,777.30",..
Afghanistan,120,77.4,5.6,"380,400.00",58.3,"7,910,000.00",0.6,12.1,"2,253,000.00",0.2,..,..,"12,084.40",1.9,..,..,"652,860.00",..,0.2,"2,705,000.00",44.8,52.9,66.8,"652,860.00","1,200.60",..,..,..,"9,783,756.00",4.4,78.8,..,..,..,"5,360.00",59.8,"2,710.00",83.4,..,..,..,..
